"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","19/459","258/18986",0.0736434108527132,3.0461738528314,5.2085372695507,1.80582952426134e-05,0.0432906909246943,0.0410007839728459,"SNX9/CDK5/RIMS2/NRG1/SNCG/SCRN1/SUSD4/SV2A/AP3B2/ARPC3/PPFIA3/GRIPAP1/BRSK1/ERC2/SLC17A6/BRAF/SYNE1/PICALM/SNCA",19
"GO:0016358","GO:0016358","dendrite development","18/459","239/18986",0.0753138075313808,3.11526786446796,5.17973480544526,2.2163596152044e-05,0.0432906909246943,0.0410007839728459,"MEF2C/DBN1/CDK5/ACTL6B/ELAVL4/RAB21/EPHB2/SEMA4D/TAOK2/GPR37/GPX4/DLG4/HDAC2/CDC42/SYNE1/ZMYND8/PICALM/TET1",18
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","17/459","238/18986",0.0714285714285714,2.95455960161843,4.7760516749697,7.23169159016547e-05,0.0432906909246943,0.0410007839728459,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/SEMA4D/LHX2/NDN/BIN3/TRIM28/PUM2/EFNA5/TTL",17
"GO:0031346","GO:0031346","positive regulation of cell projection organization","22/459","363/18986",0.0606060606060606,2.50689905591866,4.56269821200022,8.02066215692085e-05,0.0432906909246943,0.0410007839728459,"DPYSL3/MARK4/PLXNA2/DBN1/ARHGEF7/ELAVL4/MAP3K13/DDR1/KCTD17/RAB21/ROR2/FZD1/PLXNA3/EPHB2/SEMA4D/DLG4/ROBO3/BRAF/CDC42/ZMYND8/PUM2/EFNA5",22
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","8/459","60/18986",0.133333333333333,5.51517792302106,5.51353541681564,9.32961076008969e-05,0.0432906909246943,0.0410007839728459,"CNTN2/KRAS/DBN1/SYNGR1/EPHB2/PPFIA3/DLG4/SNCA",8
"GO:0050803","GO:0050803","regulation of synapse structure or activity","20/459","318/18986",0.0628930817610063,2.60149902029295,4.53315359110522,0.000101899183975307,0.0432906909246943,0.0410007839728459,"MEF2C/DBN1/CDK5/FGF7/DLGAP4/UBE2M/ROR2/PRNP/LRFN1/FZD1/EPHB2/SEMA4D/GRIPAP1/SLC17A6/CDC42/ZMYND8/PUM2/YWHAZ/EFNA5/SNCA",20
"GO:0099504","GO:0099504","synaptic vesicle cycle","16/459","222/18986",0.0720720720720721,2.98117725568706,4.6735425536105,0.000105513597422013,0.0432906909246943,0.0410007839728459,"SNX9/CDK5/RIMS2/SNCG/SCRN1/SV2A/AP3B2/ARPC3/PPFIA3/GRIPAP1/BRSK1/ERC2/SLC17A6/BRAF/PICALM/SNCA",16
"GO:0008038","GO:0008038","neuron recognition","7/459","46/18986",0.152173913043478,6.29449654257838,5.65877844129695,0.000109180854925712,0.0432906909246943,0.0410007839728459,"CNTN2/CXCR4/EPHB2/ROBO3/NDN/NCAM2/YWHAZ",7
"GO:0050769","GO:0050769","positive regulation of neurogenesis","17/459","247/18986",0.0688259109311741,2.84690358374569,4.59863126634541,0.000113927941170145,0.0432906909246943,0.0410007839728459,"XRCC5/KRAS/PLXNA2/DBN1/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",17
"GO:0010975","GO:0010975","regulation of neuron projection development","25/459","452/18986",0.0553097345132743,2.28782270036825,4.36163989846014,0.000115775191635481,0.0432906909246943,0.0410007839728459,"ACAP3/CNTN2/DPYSL3/PLXNA2/DBN1/CDK5/ELAVL4/MAP3K13/DDR1/INPP5J/RAB21/ROR2/CRMP1/NCS1/FZD1/PLXNA3/EPHB2/SEMA4D/BRSK1/HDAC2/ROBO3/BRAF/SYNE1/PUM2/EFNA5",25
