comparison,p_value,active_features,active_group
IKBKG_vs_MYD88,1.21186150293723e-06,AP3B1/CMPK1/GDF15/GOLGB1/GPX4/HEXB/IL1A/MANF/METRNL/NUDT14/OSGIN2/PFKP/STARD4/TPI1/TYMP/UPP1/VKORC1/ZC3H12A,5/11/15/21
TAB1_vs_MYD88,0.00105408125530409,TYMS,33
IFNAR1_vs_MYD88,3.23076705233354e-06,ATG12/C5AR1/C5AR2/CD47/CELF1/DDX60L/EPSTI1/GBP1/GBP2/IFIH1/IFNAR1/MAP3K8/MRPL15/NMI/NUB1/OAS2/PLD4/PLSCR1/PRDX1/PTGER4/PTPN1/RAC2/REL/SAMHD1/SELENOW/ST13/STIP1/STMP1/TNIP1/TRIB1,6/31
TXNDC17_vs_MYD88,5.93002265379713e-06,"",""
FLI1_vs_MYD88,0.261939592959389,"",""
MAPK14_vs_MYD88,0.00877566484606041,BCL9L/NENF,4
KIDINS220_vs_MYD88,2.14747318654004e-06,ITGB5/NUDT14/PFKP/TYMS/ZC3H12A,11/13/33
MAP2K1_vs_MYD88,3.90557383602071e-11,ALAS1/ARGLU1/ATF4/BTG2/CCPG1/CDC42SE1/CYTH2/DENND4A/DRAP1/EIF5/ETV3/FOXP1/GRB2/GTF2B/HDGF/HES4/KLF5/LMO2/MAML2/MED13L/MED28/NCOA7/NDFIP1/NFKBIZ/NUCB1/POU2F2/PRDM1/PSD3/PTBP3/RASGEF1B/RLF/SATB1/SERTAD2/STAT5A/TIPRL/UXT/ZEB2,""
YEATS4_vs_MYD88,0.161321899158154,"",""
ATXN7L3_vs_MYD88,5.04373609814674e-13,ABCF1/AC245297-3/ADRM1/AP3B1/ARID1B/BCL3/BCL9L/CD47/CDC42SE1/COPRS/CYTH2/DENND4A/EIF5/GRB2/IFNAR1/LAT2/MED13/MIR4435-2HG/MOB1A/MRPL41/NAA20/NCK2/NDFIP1/NECTIN2/NENF/NPTN/NUCB1/PAIP2/PEBP1/PLXDC2/POLR1D/PSD3/RASGEF1B/RBM23/RBMS1/RGS10/RICTOR/RNF181/RNF19A/RPL26L1/SELENOW/SLC25A5/SPATS2L/STAG2/TAOK3/TIPRL/TRIP12/UBE2L3/UFD1/VKORC1/XBP1,1/4/6/9/12/18/21/24
AHR_vs_MYD88,1.72134898929921e-21,APBB1IP/ARGLU1/ATF4/CCPG1/CMPK1/COMT/EIF4G3/ETV3/FOSL2/FOXP1/GTF2B/HDGF/HES4/HEXB/ITGB5/KLF5/LIPA/LMO2/MAFB/MAFG/MAML2/MED13L/MED28/NCOA7/NECTIN2/NFKBIZ/NUDT14/PAIP1/PFKP/PNP/POU2F2/PPARD/PRDM1/PRKAR2A/RAP2C/RBM23/SATB1/SERTAD2/STARD4/STAT5A/TNS3/TPRA1/XBP1/YWHAG/ZC3H12A/ZEB2/ZYX,3/11/12/13
PRDM1_vs_MYD88,0.264079581166372,TYMS,""
TNFAIP3_vs_MYD88,3.08277782245322e-10,AC245297-3/ANKRD11/ATG12/CD47/CFLAR/CLIC4/KCNQ4/MIR4435-2HG/POLR1D/PRDX4/RFLNB/SELENOW/STIP1/WASF2,1/6/14
JUNB_vs_MYD88,1.79168809769896e-09,CDC42SE1/CYTH2/DENND4A/EIF5/GRB2/NDFIP1/NUCB1/RASGEF1B/TIPRL,18
TIRAP_vs_MYD88,3.4187413281659e-12,ALAS1/AMPD3/AP2S1/ARGLU1/CCPG1/CIB1/FOXP1/GPI/GTF2I/HDGF/KLF5/LIPA/LMO2/MAFG/MAML2/MED13L/MED28/MMP24OS/NFKBIZ/OGA/PDXK/PFKL/POU2F2/PPARD/QSOX1/RAB5IF/RUNX3/SATB1/SERTAD2/STAT5A/YIF1A/ZNHIT1,3/16/38
TRIB1_vs_MYD88,4.04280404591168e-13,ANKRD11/ATG12/CD47/CFLAR/CLIC4/CMPK1/COMT/FAM89B/HEXB/KCNQ4/MYL6/NUDT14/PDLIM5/PFKP/PRDX4/RCN1/RFLNB/STARD4/TPI1/WASF2/ZC3H12A,4/6/11/14
PICALM_vs_MYD88,3.72948679493134e-05,ADAM10/AKIRIN1/BAZ1A/CPM/EIF3F/GPSM3/LYRM4/PTP4A1/SPN/STK10/TMEM123,20
EHMT2_vs_MYD88,1.31458775794921e-08,ATP13A3/CHMP3/CHMP4B/DPP7/HGSNAT/M6PR/NAPRT/PLEKHB2/RAB10/TMEM165,2
STAT1_vs_MYD88,2.19583425876732e-13,ABHD17A/DERL1/EPSTI1/FBXO32/GOLGB1/MARK3/OAS2/OPTN/PHACTR4/PLSCR1/SAMHD1/SRP19,5/22/31
RELA_vs_MYD88,9.91052850840863e-14,APBB1IP/ITGB5/PRKAR2A/SERTAD2/TYMS/ZYX,3/13/33
TLR1_vs_MYD88,2.75356884339828e-17,ARGLU1/ATF4/CDC42SE1/CYTH2/DENND4A/EIF5/ETV3/GRB2/MAML2/MED13L/MED28/NCOA7/NDFIP1/NUCB1/POU2F2/PPARD/PSD3/RASGEF1B/SERTAD2/STAT5A/TIPRL,3/18
CEBPG_vs_MYD88,9.36459050316684e-06,DNAJB6/HIF1A/RNF130/SOD2,37
IRAK1_vs_MYD88,1.14691639179353e-10,ABL2/ACTR3/APBB1IP/B4GALT5/CD99/CDC42/CYTH2/DENND4A/EIF5/ERBIN/IL1A/ITGB5/MANF/METRNL/NDFIP1/NORAD/NUCB1/PLEKHO1/PPP1CB/PPP3CA/PRKAR2A/PTPN12/RASGEF1B/SDC4/TFRC/TIPRL/TNS3/TPRA1/TYMP/YWHAG/ZYX,7/10/13/15/18
MAP2K2_vs_MYD88,6.24047780874485e-17,ANKRD11/CD70/CDC42/CFLAR/CKLF/CLIC4/CRTAP/GDF15/HDAC9/HERC1/IL1A/KCNQ4/MANF/METRNL/MYL6/OSGIN2/PRDX4/RBBP6/RCN1/RFLNB/SDC4/TNFRSF1B/TYMP/WASF2,10/14/15
DNTTIP1_vs_MYD88,0.51875619915899,TYMS,33
HSP90B1_vs_MYD88,3.37989874925036e-19,ABL2/ACTR3/ANKRD11/APBB1IP/ARF6/CD47/CD99/CFLAR/CMPK1/CNN2/DERL1/EMC10/ERBIN/GOLGB1/GPX4/HDAC9/HEXB/ITGAV/ITGB5/KCNQ4/KPNA4/MYH9/NORAD/NUDT14/PDLIM5/PFKP/PLIN2/PPP1CB/PRDX4/PRKAR2A/PTPN12/QKI/RBBP6/RFLNB/SCPEP1/SEC62/SELENOF/STARD4/TNS3/TPRA1/UPP1/WASF2/YWHAG/ZC3H12A/ZYX,5/6/11/13/14
IRAK4_vs_MYD88,1.10734381327381e-24,ACTR3/ALAS1/ANKRD11/APBB1IP/ARGLU1/ATF4/BUB3/CCPG1/CD99/CENPF/CFLAR/CKS1B/CLIC4/CYTH2/DENND4A/DOCK8/ENG/ETV3/FKBP5/GDF15/GTF2B/H2AFV/HBEGF/HDAC9/HDGF/HES4/HMGB2/HNRNPH1/HNRNPUL1/IL1A/ITGAV/ITGB5/JPT1/KCNQ4/KLF3/KLF5/KLF6/KRT10/LMO2/MAFG/MANF/MED13L/MED28/METRNL/NCOA7/NFKBIZ/OSGIN2/PDLIM5/PLXNB2/POU2F2/PPARD/PPP1CB/PRDX4/PRKAR2A/PTPN12/RBBP6/RBM23/RFLNB/RNF5/SATB1/SERTAD2/TIPRL/TNS3/TPRA1/TYMP/WASF2/YWHAG/ZYX,3/12/13/14/15/18/32
