gene1,gene2,is_significant,relevant_module
AHR,RELA,2,3
ATXN7L3,XPR1,2,5
CSNK1A1,HSP90B1,2,3
CSNK1A1,IRAK4,2,3
CSNK1A1,KIDINS220,2,3
CSNK1A1,MEF2C,2,3
HSP90B1,IRAK4,2,3
HSP90B1,RELA,2,3
HSP90B1,TRAF6,2,5
HSP90B1,TRIB1,2,4
IFNAR1,TYK2,2,3
IKBKB,IRAK4,2,3
IKBKB,MEF2C,2,4
IKBKB,RELA,2,3
IKBKB,TRAF6,2,3
IKBKB,XPR1,2,3
IKBKG,IRAK1,2,3
IRAK1,IRAK4,2,3
IRAK1,KIDINS220,2,3
IRAK4,MYD88,2,4
IRAK4,TRAF6,2,3
KIDINS220,TRAF6,2,3
KIDINS220,XPR1,2,3
MAPK1,MEF2C,2,3
MAPK1,RELA,2,4
MAPK1,TRAF6,2,3
MEF2C,RELA,2,3
MEF2C,TRAF6,2,3
MEF2C,XPR1,2,3
MYD88,TRAF6,2,3
TRAF6,XPR1,2,3
